Symbol,Security,GICS Sector,hq,included,Founded
WRK,WestRock,Materials,"Atlanta, Georgia",,2015
WY,Weyerhaeuser,Real Estate,"Seattle, Washington",,1900
WHR,Whirlpool Corporation,Consumer Discretionary,"Benton Harbor, Michigan",,1911
WMB,Williams Companies,Energy,"Tulsa, Oklahoma",31.03.1975,1908
WTW,Willis Towers Watson,Financials,"London, United Kingdom",05.01.2016,2016
GWW,W. W. Grainger,Industrials,"Lake Forest, Illinois",30.06.1981,1927
WYNN,Wynn Resorts,Consumer Discretionary,"Paradise, Nevada",14.11.2008,2002
XEL,Xcel Energy,Utilities,"Minneapolis, Minnesota",04.03.1957,1909
XYL,Xylem Inc.,Industrials,"White Plains, New York",01.11.2011,2011
YUM,Yum! Brands,Consumer Discretionary,"Louisville, Kentucky",06.10.1997,1997
ZBRA,Zebra Technologies,Information Technology,"Lincolnshire, Illinois",23.12.2019,1969
ZBH,Zimmer Biomet,Health Care,"Warsaw, Indiana",07.08.2001,1927
ZION,Zions Bancorporation,Financials,"Salt Lake City, Utah",22.06.2001,1873
ZTS,Zoetis,Health Care,"Parsippany, New Jersey",21.06.2013,1952
