Symbol,Security,GICS Sector,hq,included,Founded
GL,Globe Life,Financials,"McKinney, Texas",30.04.1989,1900
GPN,Global Payments,Information Technology,"Atlanta, Georgia",25.04.2016,2000
GS,Goldman Sachs,Financials,"New York City, New York",22.07.2002,1869
HAL,Halliburton,Energy,"Houston, Texas",04.03.1957,1919
HIG,Hartford (The),Financials,"Hartford, Connecticut",04.03.1957,1810
HAS,Hasbro,Consumer Discretionary,"Pawtucket, Rhode Island",30.09.1984,1923
HCA,HCA Healthcare,Health Care,"Nashville, Tennessee",27.01.2015,1968
PEAK,Healthpeak,Real Estate,"Long Beach, California",31.03.2008,1985
HSIC,Henry Schein,Health Care,"Melville, New York",17.03.2015,1932
HSY,Hershey's,Consumer Staples,"Hershey, Pennsylvania",04.03.1957,1894
HES,Hess Corporation,Energy,"New York City, New York",31.05.1984,1919
HPE,Hewlett Packard Enterprise,Information Technology,"Houston, Texas",02.11.2015,2015
HLT,Hilton Worldwide,Consumer Discretionary,"Tysons Corner, Virginia",19.06.2017,1919
HOLX,Hologic,Health Care,"Marlborough, Massachusetts",30.03.2016,1985
HD,The Home Depot,Consumer Discretionary,"Atlanta, Georgia",31.03.1988,1978
HON,Honeywell,Industrials,"Charlotte, North Carolina",31.03.1964,1906
HRL,Hormel Foods,Consumer Staples,"Austin, Minnesota",04.03.2009,1891
HST,Host Hotels & Resorts,Real Estate,"Bethesda, Maryland",20.03.2007,1993
HWM,Howmet Aerospace,Industrials,"Pittsburgh, Pennsylvania",31.03.1964,2016
HPQ,HP Inc.,Information Technology,"Palo Alto, California",31.12.1974,1939 (2015)
HUM,Humana,Health Care,"Louisville, Kentucky",,1961
HBAN,Huntington Bancshares,Financials,"Columbus, Ohio; Detroit, Michigan",,1866
HII,Huntington Ingalls Industries,Industrials,"Newport News, Virginia",03.01.2018,2011
IBM,IBM,Information Technology,"Armonk, New York",04.03.1957,1911
IEX,IDEX Corporation,Industrials,"Lake Forest, Illinois",09.08.2019,1988
IDXX,Idexx Laboratories,Health Care,"Westbrook, Maine",05.01.2017,1983
ITW,Illinois Tool Works,Industrials,"Glenview, Illinois",28.02.1986,1912
ILMN,Illumina,Health Care,"San Diego, California",19.11.2015,1998
INCY,Incyte,Health Care,"Wilmington, Delaware",28.02.2017,1991
IR,Ingersoll Rand,Industrials,"Davidson, North Carolina",03.03.2020,1859
INTC,Intel,Information Technology,"Santa Clara, California",31.12.1976,1968
ICE,Intercontinental Exchange,Financials,"Atlanta, Georgia",26.09.2007,2000
IP,International Paper,Materials,"Memphis, Tennessee",04.03.1957,1898
IPG,The Interpublic Group of Companies,Communication Services,"New York City, New York",01.10.1992,1961 (1930)
IFF,International Flavors & Fragrances,Materials,"New York City, New York",31.03.1976,1958 (1889)
INTU,Intuit,Information Technology,"Mountain View, California",05.12.2000,1983
ISRG,Intuitive Surgical,Health Care,"Sunnyvale, California",02.06.2008,1995
IVZ,Invesco,Financials,"Atlanta, Georgia",21.08.2008,1935
INVH,Invitation Homes,Real Estate,"Dallas, Texas",19.09.2022,2012
IQV,IQVIA,Health Care,"Durham, North Carolina",29.08.2017,1982
IRM,Iron Mountain,Real Estate,"Boston, Massachusetts",06.01.2009,1951
JBHT,J.B. Hunt,Industrials,"Lowell, Arkansas",01.07.2015,1961
JKHY,Jack Henry & Associates,Information Technology,"Monett, Missouri",13.11.2018,1976
J,Jacobs Solutions,Industrials,"Dallas, Texas",26.10.2007,1947
JNJ,Johnson & Johnson,Health Care,"New Brunswick, New Jersey",30.06.1973,1886
JCI,Johnson Controls,Industrials,"Cork, Ireland",27.08.2010,1885
JPM,JPMorgan Chase,Financials,"New York City, New York",30.06.1975,2000 (1799 / 1871)
JNPR,Juniper Networks,Information Technology,"Sunnyvale, California",02.06.2006,1996
K,Kellogg's,Consumer Staples,"Battle Creek, Michigan",11.09.1989,1906
KDP,Keurig Dr Pepper,Consumer Staples,"Burlington, Massachusetts",21.06.2022,1981
KEY,KeyCorp,Financials,"Cleveland, Ohio",01.03.1994,1825
KEYS,Keysight,Information Technology,"Santa Rosa, California",06.11.2018,2014 (1939)
KMB,Kimberly-Clark,Consumer Staples,"Irving, Texas",04.03.1957,1872
KIM,Kimco Realty,Real Estate,"New Hyde Park, New York",04.04.2006,1958
KMI,Kinder Morgan,Energy,"Houston, Texas",25.05.2012,1997
KLAC,KLA Corporation,Information Technology,"Milpitas, California",,1975/1977 (1997)
KHC,Kraft Heinz,Consumer Staples,"Chicago, Illinois; Pittsburgh, Pennsylvania",06.07.2015,2015 (1869)
KR,Kroger,Consumer Staples,"Cincinnati, Ohio",04.03.1957,1883
LHX,L3Harris,Industrials,"Melbourne, Florida",22.09.2008,2019 (1895)
LH,LabCorp,Health Care,"Burlington, North Carolina",01.11.2004,1978
LRCX,Lam Research,Information Technology,"Fremont, California",29.06.2012,1980
LW,Lamb Weston,Consumer Staples,"Eagle, Idaho",03.12.2018,2016 (1950)
LVS,Las Vegas Sands,Consumer Discretionary,"Las Vegas, Nevada",03.10.2019,1988
LDOS,Leidos,Industrials,"Reston, Virginia",09.08.2019,1969
LEN,Lennar,Consumer Discretionary,"Miami, Florida",04.10.2005,1954
LNC,Lincoln Financial,Financials,"Radnor, Pennsylvania",30.06.1976,1905
LIN,Linde plc,Materials,"Guildford, United Kingdom",01.07.1992,1879
LYV,Live Nation Entertainment,Communication Services,"Beverly Hills, California",23.12.2019,2010
LKQ,LKQ Corporation,Consumer Discretionary,"Chicago, Illinois",23.05.2016,1998
LMT,Lockheed Martin,Industrials,"Bethesda, Maryland",31.07.1984,1995
L,Loews Corporation,Financials,"New York City, New York",,1959
LOW,Lowe's,Consumer Discretionary,"Mooresville, North Carolina",29.02.1984,1904/1946/1959
LUMN,Lumen Technologies,Communication Services,"Monroe, Louisiana",25.03.1999,1983 (1877)
LYB,LyondellBasell,Materials,"Rotterdam, Netherlands",05.09.2012,2007
MTB,M&T Bank,Financials,"Buffalo, New York",23.02.2004,1856
MRO,Marathon Oil,Energy,"Houston, Texas",01.05.1991,1887
MPC,Marathon Petroleum,Energy,"Findlay, Ohio",01.07.2011,2009 (1887)
MKTX,MarketAxess,Financials,"New York City, New York",01.07.2019,2000
MAR,Marriott International,Consumer Discretionary,"Bethesda, Maryland",,1927
MMC,Marsh McLennan,Financials,"New York City, New York",31.08.1987,1905
MLM,Martin Marietta Materials,Materials,"Raleigh, North Carolina",02.07.2014,1993
MAS,Masco,Industrials,"Livonia, Michigan",30.06.1981,1929
MA,Mastercard,Information Technology,"Harrison, New York",18.07.2008,1966
MTCH,Match Group,Communication Services,"Dallas, Texas",20.09.2021,1986
MKC,McCormick & Company,Consumer Staples,"Hunt Valley, Maryland",20.03.2003,1889
MCD,McDonald's,Consumer Discretionary,"Chicago, Illinois",30.06.1970,1940
MCK,McKesson,Health Care,"Irving, Texas",,1833
MDT,Medtronic,Health Care,"Dublin, Ireland",31.10.1986,1949
MRK,Merck & Co.,Health Care,"Kenilworth, New Jersey",04.03.1957,1891
META,Meta Platforms,Communication Services,"Menlo Park, California",23.12.2013,2004
MET,MetLife,Financials,"New York City, New York",,1868
MTD,Mettler Toledo,Health Care,"Columbus, Ohio",06.09.2016,1945
MGM,MGM Resorts,Consumer Discretionary,"Paradise, Nevada",26.07.2017,1986
MCHP,Microchip Technology,Information Technology,"Chandler, Arizona",07.09.2007,1989
MU,Micron Technology,Information Technology,"Boise, Idaho",27.09.1994,1978
MSFT,Microsoft,Information Technology,"Redmond, Washington",01.06.1994,1975
MAA,Mid-America Apartment Communities,Real Estate,"Memphis, Tennessee",02.12.2016,1977
MRNA,Moderna,Health Care,"Cambridge, Massachusetts",21.07.2021,2010
MHK,Mohawk Industries,Consumer Discretionary,"Calhoun, Georgia",23.12.2013,1878
MOH,Molina Healthcare,Health Care,"Long Beach, California",02.03.2022,1980
TAP,Molson Coors Beverage Company,Consumer Staples,"Chicago, Illinois",30.06.1976,"2005 (Molson 1786, Coors 1873)"
