location,direction,ts,value
Modřany,z centra,2018-01-02,119.0
Modřany,centrum,2018-01-02,122.0
Vršovická,Strašnice,2018-01-02,44.0
Vršovická,Nusle,2018-01-02,52.0
Košíře,centrum,2018-01-02,38.0
Barrandovský most,Barrandovský most,2018-01-03,42.0
Barrandovský most,Zlíchov,2018-01-03,53.0
Chodov,Chodov centrum,2018-01-03,25.0
Chodov,ul. Türkova,2018-01-03,18.0
Celetná,Ovocný trh,2018-01-03,143.0
Celetná,Prašná brána,2018-01-03,97.0
Dukelských hrdinů,centrum,2018-01-03,43.0
Dukelských hrdinů,z centra,2018-01-03,36.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-03,24.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-03,21.0
Hlubočepská,centrum,2018-01-03,19.0
Hlubočepská,Hlubočepy,2018-01-03,26.0
Jeremenkova,Pankrác,2018-01-03,13.0
Jeremenkova,Podolské nábřeží,2018-01-03,24.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-03,57.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-03,62.0
Letňany,z centra,2018-01-03,20.0
Letňany,centrum,2018-01-03,13.0
Radotín,Radotín,2018-01-03,21.0
Radotín,Zbraslav,2018-01-03,18.0
Nuselský most,centrum,2018-01-03,47.0
Nuselský most,ul. 5. května,2018-01-03,40.0
Střešovice,do centra,2018-01-03,6.0
Střešovice,z centra,2018-01-03,6.0
Pelléova,Jaselská,2018-01-03,31.0
Pelléova,Milady Horákové,2018-01-03,43.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-03,62.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-03,72.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-03,42.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-03,30.0
Podbabská,ul. Roztocká,2018-01-03,10.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-03,3.0
Povltavská, ul. Vodácká,2018-01-03,10.0
Povltavská,ZOO,2018-01-03,22.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-03,
Rohanské nábřeží,z centra (Karlín),2018-01-03,
Šeberov,Kunratice,2018-01-03,9.0
Šeberov,Šeberov,2018-01-03,3.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-03,12.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-03,24.0
Krč (Sulická),Lhotka,2018-01-03,23.0
Krč (Sulická),Krč,2018-01-03,20.0
Císařský ostrov,do centra (Stromovka),2018-01-03,83.0
Císařský ostrov,z centra (Trója),2018-01-03,89.0
Stezka okolo Rokytky,O2 Aréna,2018-01-03,16.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-03,27.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-03,18.0
Drážní stezka - Vítkov,Seifertova,2018-01-03,13.0
Modřany,z centra,2018-01-03,47.0
Modřany,centrum,2018-01-03,46.0
Vršovická,Strašnice,2018-01-03,29.0
Vršovická,Nusle,2018-01-03,35.0
Košíře,centrum,2018-01-03,27.0
Barrandovský most,Barrandovský most,2018-01-04,101.0
Barrandovský most,Zlíchov,2018-01-04,112.0
Chodov,Chodov centrum,2018-01-04,36.0
Chodov,ul. Türkova,2018-01-04,27.0
Celetná,Ovocný trh,2018-01-04,138.0
Celetná,Prašná brána,2018-01-04,141.0
Dukelských hrdinů,centrum,2018-01-04,49.0
Dukelských hrdinů,z centra,2018-01-04,60.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-04,24.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-04,60.0
Hlubočepská,centrum,2018-01-04,64.0
Hlubočepská,Hlubočepy,2018-01-04,65.0
Jeremenkova,Pankrác,2018-01-04,36.0
Jeremenkova,Podolské nábřeží,2018-01-04,39.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-04,89.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-04,98.0
Letňany,z centra,2018-01-04,24.0
Letňany,centrum,2018-01-04,36.0
Radotín,Radotín,2018-01-04,32.0
Radotín,Zbraslav,2018-01-04,32.0
Nuselský most,centrum,2018-01-04,65.0
Nuselský most,ul. 5. května,2018-01-04,62.0
Střešovice,do centra,2018-01-04,9.0
Střešovice,z centra,2018-01-04,19.0
Pelléova,Jaselská,2018-01-04,46.0
Pelléova,Milady Horákové,2018-01-04,61.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-04,112.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-04,149.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-04,83.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-04,54.0
Podbabská,ul. Roztocká,2018-01-04,19.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-04,18.0
Povltavská, ul. Vodácká,2018-01-04,76.0
Povltavská,ZOO,2018-01-04,108.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-04,
Rohanské nábřeží,z centra (Karlín),2018-01-04,
Šeberov,Kunratice,2018-01-04,4.0
Šeberov,Šeberov,2018-01-04,8.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-04,52.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-04,61.0
Krč (Sulická),Lhotka,2018-01-04,48.0
Krč (Sulická),Krč,2018-01-04,49.0
Císařský ostrov,do centra (Stromovka),2018-01-04,91.0
Císařský ostrov,z centra (Trója),2018-01-04,121.0
Stezka okolo Rokytky,O2 Aréna,2018-01-04,36.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-04,52.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-04,33.0
Drážní stezka - Vítkov,Seifertova,2018-01-04,31.0
Modřany,z centra,2018-01-04,110.0
Modřany,centrum,2018-01-04,120.0
Vršovická,Strašnice,2018-01-04,52.0
Vršovická,Nusle,2018-01-04,56.0
Košíře,centrum,2018-01-04,44.0
Barrandovský most,Barrandovský most,2018-01-05,111.0
Barrandovský most,Zlíchov,2018-01-05,121.0
