location,direction,ts,value
Letňany,centrum,2018-07-26,191.0
Radotín,Radotín,2018-07-26,
Radotín,Zbraslav,2018-07-26,
Nuselský most,centrum,2018-07-26,195.0
Nuselský most,ul. 5. května,2018-07-26,182.0
Střešovice,do centra,2018-07-26,74.0
Střešovice,z centra,2018-07-26,68.0
Pelléova,Jaselská,2018-07-26,79.0
Pelléova,Milady Horákové,2018-07-26,199.0
Podolské nábřeží - stezka,z centra (Braník),2018-07-26,762.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-07-26,1221.0
Podolské nábřeží - vozovka,z centra (Braník),2018-07-26,701.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-07-26,208.0
Podbabská,ul. Roztocká,2018-07-26,264.0
Podbabská,ul. Jugoslávkých partyzánů,2018-07-26,303.0
Povltavská, ul. Vodácká,2018-07-26,556.0
Povltavská,ZOO,2018-07-26,858.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-07-26,853.0
Rohanské nábřeží,z centra (Karlín),2018-07-26,783.0
Šeberov,Kunratice,2018-07-26,101.0
Šeberov,Šeberov,2018-07-26,102.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-07-26,63.0
Lahovičky (Strakonická),z centra (Radotín),2018-07-26,37.0
Krč (Sulická),Lhotka,2018-07-26,0.0
Krč (Sulická),Krč,2018-07-26,0.0
Císařský ostrov,do centra (Stromovka),2018-07-26,356.0
Císařský ostrov,z centra (Trója),2018-07-26,296.0
Stezka okolo Rokytky,O2 Aréna,2018-07-26,
Stezka okolo Rokytky,ul. U Elektry,2018-07-26,
Drážní stezka - Vítkov,Hrdlořezy,2018-07-26,180.0
Drážní stezka - Vítkov,Seifertova,2018-07-26,213.0
Modřany,z centra,2018-07-26,984.0
Modřany,centrum,2018-07-26,742.0
Vršovická,Strašnice,2018-07-26,284.0
Vršovická,Nusle,2018-07-26,335.0
Košíře,centrum,2018-07-26,240.0
Barrandovský most,Barrandovský most,2018-07-27,513.0
Barrandovský most,Zlíchov,2018-07-27,647.0
Chodov,Chodov centrum,2018-07-27,118.0
Chodov,ul. Türkova,2018-07-27,84.0
Celetná,Ovocný trh,2018-07-27,272.0
Celetná,Prašná brána,2018-07-27,355.0
Dukelských hrdinů,centrum,2018-07-27,270.0
Dukelských hrdinů,z centra,2018-07-27,310.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-07-27,475.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-07-27,338.0
Hlubočepská,centrum,2018-07-27,483.0
Hlubočepská,Hlubočepy,2018-07-27,404.0
Jeremenkova,Pankrác,2018-07-27,
Jeremenkova,Podolské nábřeží,2018-07-27,124.0
Nábřeží Kapitána Jaroše,Libeň,2018-07-27,334.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-07-27,363.0
Letňany,z centra,2018-07-27,154.0
Letňany,centrum,2018-07-27,156.0
Radotín,Radotín,2018-07-27,
Radotín,Zbraslav,2018-07-27,
Nuselský most,centrum,2018-07-27,143.0
Nuselský most,ul. 5. května,2018-07-27,103.0
Střešovice,do centra,2018-07-27,73.0
Střešovice,z centra,2018-07-27,42.0
Pelléova,Jaselská,2018-07-27,68.0
Pelléova,Milady Horákové,2018-07-27,557.0
Podolské nábřeží - stezka,z centra (Braník),2018-07-27,571.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-07-27,935.0
Podolské nábřeží - vozovka,z centra (Braník),2018-07-27,684.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-07-27,190.0
Podbabská,ul. Roztocká,2018-07-27,199.0
Podbabská,ul. Jugoslávkých partyzánů,2018-07-27,226.0
Povltavská, ul. Vodácká,2018-07-27,453.0
Povltavská,ZOO,2018-07-27,677.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-07-27,735.0
Rohanské nábřeží,z centra (Karlín),2018-07-27,664.0
Šeberov,Kunratice,2018-07-27,55.0
Šeberov,Šeberov,2018-07-27,94.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-07-27,83.0
Lahovičky (Strakonická),z centra (Radotín),2018-07-27,34.0
Krč (Sulická),Lhotka,2018-07-27,0.0
Krč (Sulická),Krč,2018-07-27,0.0
Císařský ostrov,do centra (Stromovka),2018-07-27,320.0
Císařský ostrov,z centra (Trója),2018-07-27,399.0
Stezka okolo Rokytky,O2 Aréna,2018-07-27,
Stezka okolo Rokytky,ul. U Elektry,2018-07-27,
Drážní stezka - Vítkov,Hrdlořezy,2018-07-27,188.0
Drážní stezka - Vítkov,Seifertova,2018-07-27,170.0
Modřany,z centra,2018-07-27,846.0
Modřany,centrum,2018-07-27,648.0
Vršovická,Strašnice,2018-07-27,257.0
Vršovická,Nusle,2018-07-27,259.0
Košíře,centrum,2018-07-27,190.0
Barrandovský most,Barrandovský most,2018-07-28,309.0
Barrandovský most,Zlíchov,2018-07-28,446.0
Chodov,Chodov centrum,2018-07-28,70.0
Chodov,ul. Türkova,2018-07-28,46.0
Celetná,Ovocný trh,2018-07-28,167.0
Celetná,Prašná brána,2018-07-28,230.0
Dukelských hrdinů,centrum,2018-07-28,225.0
Dukelských hrdinů,z centra,2018-07-28,197.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-07-28,700.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-07-28,231.0
Hlubočepská,centrum,2018-07-28,333.0
Hlubočepská,Hlubočepy,2018-07-28,301.0
Jeremenkova,Pankrác,2018-07-28,
Jeremenkova,Podolské nábřeží,2018-07-28,75.0
Nábřeží Kapitána Jaroše,Libeň,2018-07-28,278.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-07-28,274.0
Letňany,z centra,2018-07-28,128.0
Letňany,centrum,2018-07-28,127.0
Radotín,Radotín,2018-07-28,
Radotín,Zbraslav,2018-07-28,
Nuselský most,centrum,2018-07-28,49.0
Nuselský most,ul. 5. května,2018-07-28,60.0
Střešovice,do centra,2018-07-28,35.0
Střešovice,z centra,2018-07-28,19.0
Pelléova,Jaselská,2018-07-28,56.0
Pelléova,Milady Horákové,2018-07-28,72.0
Podolské nábřeží - stezka,z centra (Braník),2018-07-28,615.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-07-28,847.0
Podolské nábřeží - vozovka,z centra (Braník),2018-07-28,531.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-07-28,133.0
Podbabská,ul. Roztocká,2018-07-28,183.0
Podbabská,ul. Jugoslávkých partyzánů,2018-07-28,222.0
Povltavská, ul. Vodácká,2018-07-28,487.0
Povltavská,ZOO,2018-07-28,736.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-07-28,410.0
Rohanské nábřeží,z centra (Karlín),2018-07-28,412.0
Šeberov,Kunratice,2018-07-28,96.0
Šeberov,Šeberov,2018-07-28,89.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-07-28,21.0
Lahovičky (Strakonická),z centra (Radotín),2018-07-28,41.0
Krč (Sulická),Lhotka,2018-07-28,0.0
Krč (Sulická),Krč,2018-07-28,0.0
Císařský ostrov,do centra (Stromovka),2018-07-28,276.0
Císařský ostrov,z centra (Trója),2018-07-28,381.0
Stezka okolo Rokytky,O2 Aréna,2018-07-28,
Stezka okolo Rokytky,ul. U Elektry,2018-07-28,
Drážní stezka - Vítkov,Hrdlořezy,2018-07-28,127.0
Drážní stezka - Vítkov,Seifertova,2018-07-28,99.0
Modřany,z centra,2018-07-28,992.0
Modřany,centrum,2018-07-28,758.0
Vršovická,Strašnice,2018-07-28,165.0
Vršovická,Nusle,2018-07-28,185.0
Košíře,centrum,2018-07-28,109.0
Barrandovský most,Barrandovský most,2018-07-29,481.0
Barrandovský most,Zlíchov,2018-07-29,489.0
Chodov,Chodov centrum,2018-07-29,49.0
Chodov,ul. Türkova,2018-07-29,53.0
Celetná,Ovocný trh,2018-07-29,155.0
Celetná,Prašná brána,2018-07-29,227.0
Dukelských hrdinů,centrum,2018-07-29,180.0
Dukelských hrdinů,z centra,2018-07-29,215.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-07-29,699.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-07-29,209.0
Hlubočepská,centrum,2018-07-29,444.0
Hlubočepská,Hlubočepy,2018-07-29,393.0
Jeremenkova,Pankrác,2018-07-29,6.0
Jeremenkova,Podolské nábřeží,2018-07-29,99.0
Nábřeží Kapitána Jaroše,Libeň,2018-07-29,250.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-07-29,325.0
Letňany,z centra,2018-07-29,165.0
Letňany,centrum,2018-07-29,168.0
Radotín,Radotín,2018-07-29,
Radotín,Zbraslav,2018-07-29,
Nuselský most,centrum,2018-07-29,89.0
Nuselský most,ul. 5. května,2018-07-29,100.0
Střešovice,do centra,2018-07-29,47.0
Střešovice,z centra,2018-07-29,39.0
Pelléova,Jaselská,2018-07-29,44.0
Pelléova,Milady Horákové,2018-07-29,71.0
Podolské nábřeží - stezka,z centra (Braník),2018-07-29,556.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-07-29,822.0
Podolské nábřeží - vozovka,z centra (Braník),2018-07-29,420.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-07-29,133.0
Podbabská,ul. Roztocká,2018-07-29,230.0
Podbabská,ul. Jugoslávkých partyzánů,2018-07-29,317.0
Povltavská, ul. Vodácká,2018-07-29,651.0
Povltavská,ZOO,2018-07-29,920.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-07-29,397.0
Rohanské nábřeží,z centra (Karlín),2018-07-29,401.0
Šeberov,Kunratice,2018-07-29,98.0
Šeberov,Šeberov,2018-07-29,129.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-07-29,17.0
Lahovičky (Strakonická),z centra (Radotín),2018-07-29,28.0
Krč (Sulická),Lhotka,2018-07-29,0.0
Krč (Sulická),Krč,2018-07-29,0.0
Císařský ostrov,do centra (Stromovka),2018-07-29,205.0
Císařský ostrov,z centra (Trója),2018-07-29,355.0
Stezka okolo Rokytky,O2 Aréna,2018-07-29,
Stezka okolo Rokytky,ul. U Elektry,2018-07-29,
Drážní stezka - Vítkov,Hrdlořezy,2018-07-29,161.0
Drážní stezka - Vítkov,Seifertova,2018-07-29,159.0
Modřany,z centra,2018-07-29,1247.0
Modřany,centrum,2018-07-29,988.0
Vršovická,Strašnice,2018-07-29,184.0
Vršovická,Nusle,2018-07-29,186.0
Košíře,centrum,2018-07-29,107.0
Barrandovský most,Barrandovský most,2018-07-30,655.0
Barrandovský most,Zlíchov,2018-07-30,677.0
Chodov,Chodov centrum,2018-07-30,140.0
Chodov,ul. Türkova,2018-07-30,44.0
Celetná,Ovocný trh,2018-07-30,244.0
Celetná,Prašná brána,2018-07-30,341.0
Dukelských hrdinů,centrum,2018-07-30,284.0
Dukelských hrdinů,z centra,2018-07-30,356.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-07-30,1182.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-07-30,239.0
Hlubočepská,centrum,2018-07-30,508.0
Hlubočepská,Hlubočepy,2018-07-30,448.0
Jeremenkova,Pankrác,2018-07-30,2.0
Jeremenkova,Podolské nábřeží,2018-07-30,162.0
Nábřeží Kapitána Jaroše,Libeň,2018-07-30,331.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-07-30,539.0
Letňany,z centra,2018-07-30,178.0
Letňany,centrum,2018-07-30,176.0
Radotín,Radotín,2018-07-30,
Radotín,Zbraslav,2018-07-30,
Nuselský most,centrum,2018-07-30,188.0
Nuselský most,ul. 5. května,2018-07-30,181.0
Střešovice,do centra,2018-07-30,56.0
Střešovice,z centra,2018-07-30,37.0
Pelléova,Jaselská,2018-07-30,105.0
Pelléova,Milady Horákové,2018-07-30,119.0
Podolské nábřeží - stezka,z centra (Braník),2018-07-30,698.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-07-30,1092.0
Podolské nábřeží - vozovka,z centra (Braník),2018-07-30,731.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-07-30,195.0
Podbabská,ul. Roztocká,2018-07-30,235.0
Podbabská,ul. Jugoslávkých partyzánů,2018-07-30,258.0
Povltavská, ul. Vodácká,2018-07-30,392.0
Povltavská,ZOO,2018-07-30,760.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-07-30,813.0
Rohanské nábřeží,z centra (Karlín),2018-07-30,807.0
Šeberov,Kunratice,2018-07-30,107.0
Šeberov,Šeberov,2018-07-30,98.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-07-30,83.0
Lahovičky (Strakonická),z centra (Radotín),2018-07-30,35.0
Krč (Sulická),Lhotka,2018-07-30,0.0
Krč (Sulická),Krč,2018-07-30,0.0
Císařský ostrov,do centra (Stromovka),2018-07-30,557.0
Císařský ostrov,z centra (Trója),2018-07-30,806.0
Stezka okolo Rokytky,O2 Aréna,2018-07-30,
Stezka okolo Rokytky,ul. U Elektry,2018-07-30,
Drážní stezka - Vítkov,Hrdlořezy,2018-07-30,173.0
Drážní stezka - Vítkov,Seifertova,2018-07-30,175.0
Modřany,z centra,2018-07-30,861.0
Modřany,centrum,2018-07-30,619.0
Vršovická,Strašnice,2018-07-30,291.0
Vršovická,Nusle,2018-07-30,288.0
Košíře,centrum,2018-07-30,203.0
Barrandovský most,Barrandovský most,2018-07-31,683.0
Barrandovský most,Zlíchov,2018-07-31,763.0
Chodov,Chodov centrum,2018-07-31,103.0
Chodov,ul. Türkova,2018-07-31,62.0
Celetná,Ovocný trh,2018-07-31,279.0
Celetná,Prašná brána,2018-07-31,355.0
Dukelských hrdinů,centrum,2018-07-31,321.0
Dukelských hrdinů,z centra,2018-07-31,330.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-07-31,705.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-07-31,213.0
Hlubočepská,centrum,2018-07-31,568.0
Hlubočepská,Hlubočepy,2018-07-31,477.0
Jeremenkova,Pankrác,2018-07-31,
Jeremenkova,Podolské nábřeží,2018-07-31,214.0
Nábřeží Kapitána Jaroše,Libeň,2018-07-31,358.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-07-31,453.0
Letňany,z centra,2018-07-31,184.0
Letňany,centrum,2018-07-31,197.0
Radotín,Radotín,2018-07-31,
Radotín,Zbraslav,2018-07-31,
Nuselský most,centrum,2018-07-31,156.0
Nuselský most,ul. 5. května,2018-07-31,156.0
Střešovice,do centra,2018-07-31,71.0
Střešovice,z centra,2018-07-31,61.0
Pelléova,Jaselská,2018-07-31,95.0
Pelléova,Milady Horákové,2018-07-31,211.0
Podolské nábřeží - stezka,z centra (Braník),2018-07-31,719.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-07-31,1159.0
Podolské nábřeží - vozovka,z centra (Braník),2018-07-31,909.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-07-31,235.0
Podbabská,ul. Roztocká,2018-07-31,199.0
Podbabská,ul. Jugoslávkých partyzánů,2018-07-31,261.0
Povltavská, ul. Vodácká,2018-07-31,353.0
Povltavská,ZOO,2018-07-31,728.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-07-31,835.0
Rohanské nábřeží,z centra (Karlín),2018-07-31,759.0
Šeberov,Kunratice,2018-07-31,92.0
Šeberov,Šeberov,2018-07-31,96.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-07-31,93.0
Lahovičky (Strakonická),z centra (Radotín),2018-07-31,32.0
Krč (Sulická),Lhotka,2018-07-31,0.0
Krč (Sulická),Krč,2018-07-31,0.0
Císařský ostrov,do centra (Stromovka),2018-07-31,155.0
Císařský ostrov,z centra (Trója),2018-07-31,195.0
Stezka okolo Rokytky,O2 Aréna,2018-07-31,
Stezka okolo Rokytky,ul. U Elektry,2018-07-31,
Drážní stezka - Vítkov,Hrdlořezy,2018-07-31,173.0
Drážní stezka - Vítkov,Seifertova,2018-07-31,178.0
Modřany,z centra,2018-07-31,939.0
Modřany,centrum,2018-07-31,727.0
Vršovická,Strašnice,2018-07-31,304.0
Vršovická,Nusle,2018-07-31,304.0
Košíře,centrum,2018-07-31,230.0
Barrandovský most,Barrandovský most,2018-08-01,649.0
Barrandovský most,Zlíchov,2018-08-01,699.0
Chodov,Chodov centrum,2018-08-01,70.0
Chodov,ul. Türkova,2018-08-01,27.0
Celetná,Ovocný trh,2018-08-01,275.0
Celetná,Prašná brána,2018-08-01,329.0
Dukelských hrdinů,centrum,2018-08-01,290.0
Dukelských hrdinů,z centra,2018-08-01,340.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-08-01,532.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-08-01,203.0
Hlubočepská,centrum,2018-08-01,536.0
Hlubočepská,Hlubočepy,2018-08-01,446.0
Jeremenkova,Pankrác,2018-08-01,3.0
Jeremenkova,Podolské nábřeží,2018-08-01,188.0
Nábřeží Kapitána Jaroše,Libeň,2018-08-01,318.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-08-01,402.0
Letňany,z centra,2018-08-01,165.0
Letňany,centrum,2018-08-01,161.0
Radotín,Radotín,2018-08-01,
Radotín,Zbraslav,2018-08-01,
Nuselský most,centrum,2018-08-01,187.0
Nuselský most,ul. 5. května,2018-08-01,169.0
Střešovice,do centra,2018-08-01,76.0
Střešovice,z centra,2018-08-01,64.0
Pelléova,Jaselská,2018-08-01,94.0
Pelléova,Milady Horákové,2018-08-01,119.0
Podolské nábřeží - stezka,z centra (Braník),2018-08-01,677.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-08-01,987.0
Podolské nábřeží - vozovka,z centra (Braník),2018-08-01,790.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-08-01,232.0
Podbabská,ul. Roztocká,2018-08-01,218.0
Podbabská,ul. Jugoslávkých partyzánů,2018-08-01,254.0
Povltavská, ul. Vodácká,2018-08-01,355.0
Povltavská,ZOO,2018-08-01,578.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-08-01,845.0
Rohanské nábřeží,z centra (Karlín),2018-08-01,742.0
Šeberov,Kunratice,2018-08-01,94.0
Šeberov,Šeberov,2018-08-01,89.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-08-01,75.0
Lahovičky (Strakonická),z centra (Radotín),2018-08-01,46.0
Krč (Sulická),Lhotka,2018-08-01,0.0
Krč (Sulická),Krč,2018-08-01,0.0
Císařský ostrov,do centra (Stromovka),2018-08-01,263.0
Císařský ostrov,z centra (Trója),2018-08-01,309.0
Stezka okolo Rokytky,O2 Aréna,2018-08-01,
Stezka okolo Rokytky,ul. U Elektry,2018-08-01,
Drážní stezka - Vítkov,Hrdlořezy,2018-08-01,191.0
Drážní stezka - Vítkov,Seifertova,2018-08-01,166.0
Modřany,z centra,2018-08-01,878.0
Modřany,centrum,2018-08-01,577.0
Vršovická,Strašnice,2018-08-01,286.0
Vršovická,Nusle,2018-08-01,269.0
Košíře,centrum,2018-08-01,30.0
Barrandovský most,Barrandovský most,2018-08-02,604.0
Barrandovský most,Zlíchov,2018-08-02,646.0
Chodov,Chodov centrum,2018-08-02,95.0
Chodov,ul. Türkova,2018-08-02,56.0
Celetná,Ovocný trh,2018-08-02,268.0
Celetná,Prašná brána,2018-08-02,331.0
Dukelských hrdinů,centrum,2018-08-02,312.0
Dukelských hrdinů,z centra,2018-08-02,269.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-08-02,712.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-08-02,195.0
Hlubočepská,centrum,2018-08-02,483.0
Hlubočepská,Hlubočepy,2018-08-02,381.0
Jeremenkova,Pankrác,2018-08-02,3.0
Jeremenkova,Podolské nábřeží,2018-08-02,172.0
Nábřeží Kapitána Jaroše,Libeň,2018-08-02,348.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-08-02,412.0
Letňany,z centra,2018-08-02,136.0
Letňany,centrum,2018-08-02,150.0
Radotín,Radotín,2018-08-02,
Radotín,Zbraslav,2018-08-02,
Nuselský most,centrum,2018-08-02,190.0
Nuselský most,ul. 5. května,2018-08-02,167.0
Střešovice,do centra,2018-08-02,52.0
Střešovice,z centra,2018-08-02,42.0
Pelléova,Jaselská,2018-08-02,72.0
Pelléova,Milady Horákové,2018-08-02,150.0
Podolské nábřeží - stezka,z centra (Braník),2018-08-02,565.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-08-02,955.0
Podolské nábřeží - vozovka,z centra (Braník),2018-08-02,696.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-08-02,91.0
Podbabská,ul. Roztocká,2018-08-02,212.0
Podbabská,ul. Jugoslávkých partyzánů,2018-08-02,199.0
Povltavská, ul. Vodácká,2018-08-02,332.0
Povltavská,ZOO,2018-08-02,568.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-08-02,670.0
Rohanské nábřeží,z centra (Karlín),2018-08-02,704.0
Šeberov,Kunratice,2018-08-02,78.0
Šeberov,Šeberov,2018-08-02,92.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-08-02,97.0
Lahovičky (Strakonická),z centra (Radotín),2018-08-02,61.0
Krč (Sulická),Lhotka,2018-08-02,0.0
Krč (Sulická),Krč,2018-08-02,0.0
Císařský ostrov,do centra (Stromovka),2018-08-02,158.0
Císařský ostrov,z centra (Trója),2018-08-02,210.0
Stezka okolo Rokytky,O2 Aréna,2018-08-02,
Stezka okolo Rokytky,ul. U Elektry,2018-08-02,
Drážní stezka - Vítkov,Hrdlořezy,2018-08-02,146.0
Drážní stezka - Vítkov,Seifertova,2018-08-02,131.0
Modřany,z centra,2018-08-02,783.0
Modřany,centrum,2018-08-02,599.0
Vršovická,Strašnice,2018-08-02,237.0
Vršovická,Nusle,2018-08-02,235.0
Košíře,centrum,2018-08-02,200.0
Barrandovský most,Barrandovský most,2018-08-03,431.0
Barrandovský most,Zlíchov,2018-08-03,498.0
Chodov,Chodov centrum,2018-08-03,79.0
Chodov,ul. Türkova,2018-08-03,44.0
Celetná,Ovocný trh,2018-08-03,248.0
Celetná,Prašná brána,2018-08-03,334.0
Dukelských hrdinů,centrum,2018-08-03,258.0
Dukelských hrdinů,z centra,2018-08-03,228.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-08-03,754.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-08-03,149.0
Hlubočepská,centrum,2018-08-03,368.0
Hlubočepská,Hlubočepy,2018-08-03,310.0
Jeremenkova,Pankrác,2018-08-03,1.0
Jeremenkova,Podolské nábřeží,2018-08-03,136.0
Nábřeží Kapitána Jaroše,Libeň,2018-08-03,253.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-08-03,412.0
Letňany,z centra,2018-08-03,92.0
Letňany,centrum,2018-08-03,96.0
Radotín,Radotín,2018-08-03,
Radotín,Zbraslav,2018-08-03,
Nuselský most,centrum,2018-08-03,164.0
Nuselský most,ul. 5. května,2018-08-03,126.0
Střešovice,do centra,2018-08-03,46.0
Střešovice,z centra,2018-08-03,46.0
Pelléova,Jaselská,2018-08-03,71.0
Pelléova,Milady Horákové,2018-08-03,99.0
Podolské nábřeží - stezka,z centra (Braník),2018-08-03,503.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-08-03,741.0
Podolské nábřeží - vozovka,z centra (Braník),2018-08-03,565.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-08-03,149.0
Podbabská,ul. Roztocká,2018-08-03,142.0
Podbabská,ul. Jugoslávkých partyzánů,2018-08-03,178.0
Povltavská, ul. Vodácká,2018-08-03,297.0
Povltavská,ZOO,2018-08-03,500.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-08-03,646.0
Rohanské nábřeží,z centra (Karlín),2018-08-03,535.0
Šeberov,Kunratice,2018-08-03,70.0
Šeberov,Šeberov,2018-08-03,71.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-08-03,86.0
Lahovičky (Strakonická),z centra (Radotín),2018-08-03,38.0
Krč (Sulická),Lhotka,2018-08-03,0.0
Krč (Sulická),Krč,2018-08-03,0.0
Císařský ostrov,do centra (Stromovka),2018-08-03,179.0
Císařský ostrov,z centra (Trója),2018-08-03,170.0
Stezka okolo Rokytky,O2 Aréna,2018-08-03,28.0
Stezka okolo Rokytky,ul. U Elektry,2018-08-03,65.0
Drážní stezka - Vítkov,Hrdlořezy,2018-08-03,104.0
Drážní stezka - Vítkov,Seifertova,2018-08-03,100.0
Modřany,z centra,2018-08-03,670.0
Modřany,centrum,2018-08-03,499.0
Vršovická,Strašnice,2018-08-03,175.0
Vršovická,Nusle,2018-08-03,203.0
Košíře,centrum,2018-08-03,181.0
Barrandovský most,Barrandovský most,2018-08-04,314.0
Barrandovský most,Zlíchov,2018-08-04,377.0
Chodov,Chodov centrum,2018-08-04,49.0
Chodov,ul. Türkova,2018-08-04,41.0
Celetná,Ovocný trh,2018-08-04,130.0
Celetná,Prašná brána,2018-08-04,210.0
Dukelských hrdinů,centrum,2018-08-04,150.0
Dukelských hrdinů,z centra,2018-08-04,176.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-08-04,433.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-08-04,148.0
Hlubočepská,centrum,2018-08-04,260.0
Hlubočepská,Hlubočepy,2018-08-04,251.0
Jeremenkova,Pankrác,2018-08-04,
Jeremenkova,Podolské nábřeží,2018-08-04,91.0
Nábřeží Kapitána Jaroše,Libeň,2018-08-04,162.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-08-04,263.0
Letňany,z centra,2018-08-04,96.0
Letňany,centrum,2018-08-04,83.0
Radotín,Radotín,2018-08-04,
Radotín,Zbraslav,2018-08-04,
Nuselský most,centrum,2018-08-04,69.0
Nuselský most,ul. 5. května,2018-08-04,67.0
Střešovice,do centra,2018-08-04,38.0
Střešovice,z centra,2018-08-04,26.0
Pelléova,Jaselská,2018-08-04,47.0
Pelléova,Milady Horákové,2018-08-04,50.0
Podolské nábřeží - stezka,z centra (Braník),2018-08-04,472.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-08-04,659.0
Podolské nábřeží - vozovka,z centra (Braník),2018-08-04,420.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-08-04,112.0
Podbabská,ul. Roztocká,2018-08-04,161.0
Podbabská,ul. Jugoslávkých partyzánů,2018-08-04,220.0
Povltavská, ul. Vodácká,2018-08-04,390.0
Povltavská,ZOO,2018-08-04,584.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-08-04,328.0
Rohanské nábřeží,z centra (Karlín),2018-08-04,297.0
Šeberov,Kunratice,2018-08-04,70.0
Šeberov,Šeberov,2018-08-04,82.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-08-04,21.0
Lahovičky (Strakonická),z centra (Radotín),2018-08-04,44.0
Krč (Sulická),Lhotka,2018-08-04,0.0
Krč (Sulická),Krč,2018-08-04,0.0
Císařský ostrov,do centra (Stromovka),2018-08-04,204.0
Císařský ostrov,z centra (Trója),2018-08-04,211.0
Stezka okolo Rokytky,O2 Aréna,2018-08-04,68.0
Stezka okolo Rokytky,ul. U Elektry,2018-08-04,102.0
Drážní stezka - Vítkov,Hrdlořezy,2018-08-04,97.0
Drážní stezka - Vítkov,Seifertova,2018-08-04,98.0
Modřany,z centra,2018-08-04,784.0
Modřany,centrum,2018-08-04,583.0
Vršovická,Strašnice,2018-08-04,135.0
Vršovická,Nusle,2018-08-04,176.0
Košíře,centrum,2018-08-04,83.0
Barrandovský most,Barrandovský most,2018-08-05,320.0
Barrandovský most,Zlíchov,2018-08-05,382.0
